TagID,TagName,productname,productid,EanCode
43498,Strumpor,"Bambusockor Paraply Dam 2-p 37/40 Crossbow",127789,7318161316995
43498,Strumpor,"Bambusockor Blomma Dam 2-p 37/40 Crossbow",127792,7318161316971
63775,"Kiviks Musteri","Citron/Ingefära Naturens Bästa 1L Kiviks",127798,7314720732459
70210,Kiviks,"Citron/Ingefära Naturens Bästa 1L Kiviks",127798,7314720732459
63775,"Kiviks Musteri","Frukt & Bärdryck Jordgubb/Lime Koncentrat 2dl Kiviks",127801,7314720724515
70210,Kiviks,"Frukt & Bärdryck Jordgubb/Lime Koncentrat 2dl Kiviks",127801,7314720724515
58515,lättdryck,"Frukt & Bärdryck Jordgubb/Lime Koncentrat 2dl Kiviks",127801,7314720724515
63775,"Kiviks Musteri","Säsongens Smak Päron/Vattenmelon 1,5L Kiviks",127804,7314720731339
70210,Kiviks,"Säsongens Smak Päron/Vattenmelon 1,5L Kiviks",127804,7314720731339
63775,"Kiviks Musteri","Måltidsdryck Lingon EKO 1L Kiviks",127807,7314720736143
70210,Kiviks,"Måltidsdryck Lingon EKO 1L Kiviks",127807,7314720736143
105262,"Academia Barilla Linguine","Linguine 500g Academia Barilla",127816,8076809545846
66271,"Pure Leaf","Iste Mint 500ml Pure Leaf",127858,8714100259610
66274,iste,"Iste Mint 500ml Pure Leaf",127858,8714100259610
66277,"iced tea","Iste Mint 500ml Pure Leaf",127858,8714100259610
66280,"ice tea","Iste Mint 500ml Pure Leaf",127858,8714100259610
2752,dryck,"Iste Mint 500ml Pure Leaf",127858,8714100259610
66283,kalorisnål,"Iste Mint 500ml Pure Leaf",127858,8714100259610
66286,naturlig,"Iste Mint 500ml Pure Leaf",127858,8714100259610
66271,"Pure Leaf","Iste Peach 500ml Pure Leaf",127861,8714100259672
66274,iste,"Iste Peach 500ml Pure Leaf",127861,8714100259672
66277,"iced tea","Iste Peach 500ml Pure Leaf",127861,8714100259672
66280,"ice tea","Iste Peach 500ml Pure Leaf",127861,8714100259672
